UNIQUE_ID,ROUTE_NAM,STREET_NAM,TPL_TYPE,STATUS,LENGTH,YEAR_CONST,DIRECTION,STREET_TYP,LAT,LON
1,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,49.27670048,-123.1339577
14,Burrard Brdg,Burrard Bridge,Protected Bike Lanes,Active,1059,1990,NS,Arterial,49.29116222,-123.132799
