identifier,latitude_start,longitude_start,routeName,latitude_end,longitude_end,,Lat_Difference,Lon_Difference,Sum
1305,49.24207862,-123.1852656,Dunbar,49.24149394,-123.1852704,Dunbar,584.6806311,4.809833001,589.4904641
1331,49.24890556,-123.1851973,Dunbar,49.24832088,-123.185202,Dunbar,584.6798543,4.760237999,589.4400923
4638,49.24890648,-123.0496236,Sunrise,49.2483218,-123.0496284,Sunrise,584.6828391,4.739789006,589.4226281
813,49.23797905,-123.1820004,Midtown,49.23739437,-123.1820049,Midtown,584.6803659,4.473084999,589.1534509
1312,49.23798586,-123.1852983,Dunbar,49.23740118,-123.1853027,Dunbar,584.6804087,4.410803001,589.0912117
4666,49.23409597,-123.0487564,Sunrise,49.23351144,-123.0487609,Sunrise,584.5313063,4.541470005,589.0727763
1614,49.25810096,-123.1965622,Ridgeway,49.25751628,-123.1965666,Ridgeway,584.6788079,4.386073996,589.0648819
4651,49.28711889,-123.0466919,Sunrise,49.28770357,-123.0466876,Sunrise,584.6786096,4.347471005,589.0260806
1313,49.23740118,-123.1853027,Dunbar,49.23681649,-123.1853069,Dunbar,584.6891704,4.227981989,588.9171524
4637,49.24949116,-123.0496194,Sunrise,49.24890648,-123.0496236,Sunrise,584.6825611,4.231489001,588.9140501
5604,49.25815024,-123.033772,Rupert St,49.25756556,-123.0337761,Rupert St,584.6810511,4.123875996,588.8049271
3702,49.27185929,-123.1198455,Seaside,49.27244397,-123.1198414,Seaside,584.6827893,4.072812999,588.7556023
814,49.23739437,-123.1820049,Midtown,49.23680969,-123.1820089,Midtown,584.679696,4.010056998,588.689753
904,49.23646985,-123.1963007,Midtown,49.23647153,-123.1968874,Midtown,1.682110096,586.72092,588.4030301
1909,49.28218919,-123.0387848,Hastings Park,49.28269466,-123.0388676,Hastings Park,505.4649863,82.86158099,588.3265673
4650,49.28653421,-123.0466956,Sunrise,49.28711889,-123.0466919,Sunrise,584.6783764,3.622696994,588.3010734
2770,49.23816927,-123.1730306,Balaclava,49.23758458,-123.1730342,Balaclava,584.6875457,3.533533999,588.2210797
2812,49.2396909,-123.1730214,Balaclava,49.23910622,-123.173025,Balaclava,584.6783999,3.536483007,588.2148829
2811,49.24027559,-123.173018,Balaclava,49.2396909,-123.1730214,Balaclava,584.6872265,3.463704999,588.1509315
2771,49.23758458,-123.1730342,Balaclava,49.2369999,-123.1730376,Balaclava,584.6784454,3.42360201,588.1020474
5439,49.2677374,-123.1094267,Columbia,49.26832209,-123.1094234,Columbia,584.6910363,3.260937987,587.9519743
5438,49.26715272,-123.1094299,Columbia,49.2677374,-123.1094267,Columbia,584.6820668,3.225154003,587.9072208
4672,49.23058818,-123.0488111,Sunrise,49.2300035,-123.0488142,Sunrise,584.6839911,3.136635996,587.8206271
2148,49.25586452,-123.1012584,Main St,49.25528151,-123.1012631,Main St,583.0111878,4.679501998,587.6906898
4673,49.2300035,-123.0488142,Sunrise,49.22941881,-123.0488172,Sunrise,584.6839844,2.979987002,587.6639714
4657,49.29062698,-123.0466811,Sunrise,49.29121166,-123.0466781,Sunrise,584.6776904,2.956147,587.6338374
5437,49.26656804,-123.1094328,Columbia,49.26715272,-123.1094299,Columbia,584.6818203,2.902071003,587.5838913
5441,49.26890678,-123.1094206,Columbia,49.26949146,-123.1094177,Columbia,584.681568,2.887186,587.568754
273,49.27910226,-123.0308541,Cassiar,49.27851758,-123.0308569,Cassiar,584.678476,2.862106001,587.540582
1593,49.23174313,-123.0588475,Ridgeway,49.23232758,-123.0588506,Ridgeway,584.4560523,3.080164987,587.5362173
2772,49.2369999,-123.1730376,Balaclava,49.23641522,-123.1730404,Balaclava,584.686607,2.827320998,587.513928
5597,49.26131726,-123.0337568,Rupert St,49.26073257,-123.0337596,Rupert St,584.6893372,2.802137999,587.4914752
5599,49.26014789,-123.0337624,Rupert St,49.2595632,-123.0337652,Rupert St,584.6894564,2.802013,587.4914694
5601,49.25897852,-123.033768,Rupert St,49.25839383,-123.0337708,Rupert St,584.6895753,2.801886993,587.4914623
502,49.24935934,-123.0338061,Rupert St,49.24877465,-123.0338089,Rupert St,584.6905539,2.798204008,587.4887579
5598,49.26073257,-123.0337596,Rupert St,49.26014789,-123.0337624,Rupert St,584.6804016,2.802082008,587.4824836
5600,49.2595632,-123.0337652,Rupert St,49.25897852,-123.033768,Rupert St,584.6805207,2.801956995,587.4824777
4654,49.28887293,-123.0466829,Sunrise,49.28945761,-123.0466801,Sunrise,584.6777988,2.782763005,587.4605618
5440,49.26832209,-123.1094234,Columbia,49.26890678,-123.1094206,Columbia,584.6815247,2.778537009,587.4600617
4695,49.21904469,-123.0505554,Sunrise,49.21846,-123.0505581,Sunrise,584.6850328,2.719947005,587.4049798
4652,49.28770357,-123.0466876,Sunrise,49.28828824,-123.0466849,Sunrise,584.6778584,2.635510995,587.3133694
5442,49.26949146,-123.1094177,Columbia,49.27007615,-123.1094152,Columbia,584.6902004,2.566931997,587.2571324
91,49.20527478,-123.0775075,Knight St Bridge,49.20469009,-123.0775049,Knight St Bridge,584.6925629,2.563989995,587.2565529
93,49.20410539,-123.0775023,Knight St Bridge,49.2035207,-123.0774998,Knight St Bridge,584.692682,2.563853002,587.256535
92,49.20469009,-123.0775049,Knight St Bridge,49.20410539,-123.0775023,Knight St Bridge,584.6926233,2.562549,587.2551723
94,49.2035207,-123.0774998,Knight St Bridge,49.20293601,-123.0774972,Knight St Bridge,584.6927425,2.562412007,587.2551545
1928,49.30231687,-123.1480489,Stanley Park trails,49.30173391,-123.1480532,Stanley Park trails,582.954065,4.297674991,587.25174
4656,49.2900423,-123.0466786,Sunrise,49.29062698,-123.0466811,Sunrise,584.6845407,2.500703999,587.1852447
4640,49.24773712,-123.0496333,Sunrise,49.24715243,-123.0496357,Sunrise,584.6819926,2.491700997,587.1736936
1481,49.27665774,-123.0617486,Lakewood,49.27724243,-123.0617462,Lakewood,584.6882613,2.484470997,587.1727323
4594,49.26576433,-123.0495244,Sunrise,49.26517964,-123.0495268,Sunrise,584.6891093,2.393388996,587.0824983
1860,49.28166501,-123.0322258,Hastings Park,49.2822497,-123.0322234,Hastings Park,584.6870558,2.395088003,587.0821438
1861,49.2822497,-123.0322234,Hastings Park,49.28283437,-123.032221,Hastings Park,584.6780008,2.393772988,587.0717738
1037,49.21693875,-123.0740413,Dumfries,49.21635406,-123.0740436,Dumfries,584.6855891,2.331602005,587.0171911
4606,49.25874835,-123.0495556,Sunrise,49.25816366,-123.0495533,Sunrise,584.6878098,2.301901006,586.9897108
4653,49.28828824,-123.0466849,Sunrise,49.28887293,-123.0466829,Sunrise,584.6865623,2.062115996,586.7486783
4644,49.24539836,-123.0496391,Sunrise,49.24481367,-123.0496412,Sunrise,584.6910357,2.049117995,586.7401537
3220,49.27750562,-123.0617448,Lakewood,49.2780903,-123.0617427,Lakewood,584.6789455,2.045979997,586.7249255
4642,49.24656774,-123.0496376,Sunrise,49.24598305,-123.0496396,Sunrise,584.6908772,1.957117007,586.6479942
4641,49.24715243,-123.0496357,Sunrise,49.24656774,-123.0496376,Sunrise,584.6907841,1.878841005,586.5696251
486,49.25429456,-123.0337972,Rupert St,49.25370988,-123.033799,Rupert St,584.680771,1.822890994,586.503662
4624,49.28302609,-123.0467005,Sunrise,49.2824414,-123.0467022,Sunrise,584.6870122,1.702841004,586.3898532
